applicant_id,applicant_name,cibil_score,existing_loans_lakhs,bank_account_verified,pan_verified,udyam_registration_no,gstin_status,project_report_attached,collateral_value_lakhs,business_vintage_years,monthly_cashflow_avg_inr,document_completeness_pct,target_readiness_score
ENT_IN_20001,Mahesh Joshi,741,0.64,1,1,UDYAM-MH-03-7674738,ACTIVE,1,0.56,11.3,144483,95.4,95.5
ENT_IN_20002,Meena Chatterjee,591,8.45,1,1,NOT_REGISTERED,NOT_APPLICABLE,1,6.06,0.5,330782,64.0,67.6
ENT_IN_20003,Rajesh Banerjee,575,0.33,1,0,NOT_REGISTERED,ACTIVE,1,32.77,6.7,45899,51.4,56.3
ENT_IN_20004,Anita Nair,0,1.94,1,0,UDYAM-GJ-03-6707750,ACTIVE,1,1.06,8.9,447972,36.9,58.1
ENT_IN_20005,Suresh Gupta,627,7.34,1,1,NOT_REGISTERED,ACTIVE,0,18.01,11.6,152757,45.7,51.7
ENT_IN_20006,Rohan Gupta,708,24.3,1,0,UDYAM-PB-03-1876365,UNREGISTERED,1,13.33,6.4,208785,61.8,72.7
ENT_IN_20007,Geeta Kulkarni,702,10.3,1,1,UDYAM-PB-03-3706434,UNREGISTERED,1,36.29,5.9,57293,57.2,73.4
ENT_IN_20008,Deepika Gowda,625,17.31,1,1,NOT_REGISTERED,ACTIVE,1,3.22,9.0,398864,50.6,70.0
ENT_IN_20009,Sujata Banerjee,701,15.06,1,1,UDYAM-KA-03-3399210,ACTIVE,0,42.23,2.1,278069,87.7,88.9
ENT_IN_20010,Sunil Joshi,0,1.91,1,1,UDYAM-MH-03-4912213,NOT_APPLICABLE,1,0.56,4.5,18684,69.8,56.4
ENT_IN_20011,Pradeep Yadav,818,17.47,1,1,UDYAM-UP-03-6183431,ACTIVE,1,23.71,0.5,387260,77.0,100.0
ENT_IN_20012,Geeta Gupta,818,0.2,1,1,UDYAM-PB-03-8587917,ACTIVE,0,36.29,11.5,48394,53.3,80.5
ENT_IN_20013,Lakshmi Mishra,587,9.3,1,1,UDYAM-GJ-03-6089359,NOT_APPLICABLE,1,29.69,6.2,84927,49.3,66.1
