application_id,applicant_name,state,reported_annual_income_inr,tax_vault_verified_income_inr,income_discrepancy_ratio,duplicate_bank_account_flag,duplicate_aadhaar_flag,ip_geo_mismatch,ip_address_changes_count,document_forgery_risk_score,caste_certificate_verification_status,target_is_fraudulent
FRAUD_IN_40001,Gurpreet Das,Bihar,135647,1027861,7.58,0,0,1,21,0.93,SUSPICIOUS,1
FRAUD_IN_40002,Ramesh Yadav,Madhya Pradesh,177115,171158,0.97,0,0,0,2,0.12,NOT_REQUIRED,0
FRAUD_IN_40003,Pooja Khan,Odisha,222574,1388783,6.24,1,1,0,25,0.71,UNVERIFIED,1
FRAUD_IN_40004,Rajesh Reddy,Karnataka,198791,205027,1.03,0,0,1,2,0.12,VERIFIED_VALID,0
FRAUD_IN_40005,Pradeep Deshmukh,Gujarat,292173,279132,0.96,0,0,0,1,0.14,VERIFIED_VALID,0
FRAUD_IN_40006,Ayesha Patil,Uttar Pradesh,88070,84514,0.96,0,0,0,3,0.05,VERIFIED_VALID,0
FRAUD_IN_40007,Seema Nair,Karnataka,296532,332547,1.12,0,0,0,4,0.13,VERIFIED_VALID,0
FRAUD_IN_40008,Sangeeta Chaudhary,Assam,273206,258144,0.94,0,0,0,1,0.08,VERIFIED_VALID,0
FRAUD_IN_40009,Kiran Yadav,Uttar Pradesh,410303,448668,1.09,0,0,0,1,0.17,VERIFIED_VALID,0
FRAUD_IN_40010,Sunil Nair,Uttar Pradesh,92637,93876,1.01,0,0,0,4,0.05,VERIFIED_VALID,0
FRAUD_IN_40011,Ayesha Joshi,Bihar,426632,3257458,7.64,1,0,1,25,0.71,FAKE_CERTIFICATE,1
FRAUD_IN_40012,Meena Das,Kerala,241519,225864,0.94,0,0,1,3,0.04,VERIFIED_VALID,0
FRAUD_IN_40013,Amit Sheikh,Gujarat,416453,476679,1.14,0,0,0,2,0.11,VERIFIED_VALID,0
FRAUD_IN_40014,Anita Kumar,Bihar,327770,320391,0.98,0,0,0,3,0.11,VERIFIED_VALID,0
FRAUD_IN_40015,Simran Das,Assam,399537,418441,1.05,0,0,0,1,0.22,VERIFIED_VALID,0
FRAUD_IN_40016,Bhavna Gupta,Haryana,325094,356068,1.1,0,0,0,1,0.01,VERIFIED_VALID,0
FRAUD_IN_40017,Ayesha Deshmukh,Gujarat,152067,151427,1.0,0,0,0,4,0.09,VERIFIED_VALID,0
FRAUD_IN_40018,Dinesh Singh,Madhya Pradesh,243612,243641,1.0,0,0,0,4,0.1,VERIFIED_VALID,0
FRAUD_IN_40019,Neha Kulkarni,Punjab,390356,429198,1.1,0,0,1,1,0.07,VERIFIED_VALID,0
FRAUD_IN_40020,Meena Kaur,Tamil Nadu,355011,331876,0.93,0,0,0,2,0.08,VERIFIED_VALID,0
FRAUD_IN_40021,Meena Singh,Maharashtra,185817,209195,1.13,0,0,0,4,0.01,NOT_REQUIRED,0
FRAUD_IN_40022,Sangeeta Kulkarni,Gujarat,80404,88204,1.1,0,0,0,4,0.14,NOT_REQUIRED,0
FRAUD_IN_40023,Rohan Mishra,Kerala,373653,373710,1.0,0,0,0,4,0.14,NOT_REQUIRED,0
FRAUD_IN_40024,Geeta Gowda,Karnataka,436724,436804,1.0,0,0,0,2,0.03,VERIFIED_VALID,0
FRAUD_IN_40025,Priya Mehta,Gujarat,333948,373232,1.12,0,0,0,3,0.07,VERIFIED_VALID,0
FRAUD_IN_40026,Anil Yadav,Uttar Pradesh,270920,278692,1.03,0,0,0,1,0.03,VERIFIED_VALID,0
FRAUD_IN_40027,Vijay Gowda,Assam,320290,294962,0.92,0,0,0,3,0.15,VERIFIED_VALID,0
FRAUD_IN_40028,Kiran Shah,Tamil Nadu,69399,68542,0.99,0,0,0,4,0.18,VERIFIED_VALID,0
FRAUD_IN_40029,Dinesh Sharma,Bihar,377349,370408,0.98,0,0,0,1,0.06,VERIFIED_VALID,0
FRAUD_IN_40030,Vikram Mishra,Tamil Nadu,255526,290232,1.14,0,0,0,3,0.09,VERIFIED_VALID,0
FRAUD_IN_40031,Pradeep Gupta,Assam,412167,407263,0.99,0,0,0,1,0.05,VERIFIED_VALID,0
FRAUD_IN_40032,Geeta Rao,Gujarat,45329,44082,0.97,0,0,0,1,0.02,NOT_REQUIRED,0
FRAUD_IN_40033,Ananya Gowda,Gujarat,122121,126375,1.03,0,0,0,1,0.07,VERIFIED_VALID,0
FRAUD_IN_40034,Deepika Verma,Odisha,258989,245442,0.95,0,0,0,4,0.02,VERIFIED_VALID,0
FRAUD_IN_40035,Mohammed Mishra,Maharashtra,310622,311719,1.0,0,0,1,2,0.16,VERIFIED_VALID,0
FRAUD_IN_40036,Priya Kumar,Maharashtra,50703,51564,1.02,0,0,0,1,0.13,VERIFIED_VALID,0
FRAUD_IN_40037,Tariq Kaur,Gujarat,404740,428137,1.06,0,0,0,2,0.04,VERIFIED_VALID,0
FRAUD_IN_40038,Sunil Banerjee,Gujarat,307080,308078,1.0,0,0,0,3,0.06,VERIFIED_VALID,0
FRAUD_IN_40039,Meena Das,Gujarat,383341,376682,0.98,0,0,0,3,0.21,VERIFIED_VALID,0
FRAUD_IN_40040,Shweta Nair,Bihar,417108,387744,0.93,0,0,0,3,0.2,VERIFIED_VALID,0
FRAUD_IN_40041,Pradeep Singh,Assam,131196,126583,0.96,0,0,0,4,0.01,NOT_REQUIRED,0
FRAUD_IN_40042,Geeta Kulkarni,Madhya Pradesh,250259,279901,1.12,0,0,1,4,0.2,VERIFIED_VALID,0
FRAUD_IN_40043,Rajesh Kulkarni,Assam,249307,280551,1.13,0,0,0,4,0.05,VERIFIED_VALID,0
FRAUD_IN_40044,Kiran Verma,Bihar,136984,154729,1.13,0,0,0,3,0.13,VERIFIED_VALID,0
FRAUD_IN_40045,Vijay Rao,Uttar Pradesh,336965,378273,1.12,0,0,0,4,0.05,VERIFIED_VALID,0
FRAUD_IN_40046,Preeti Kulkarni,Punjab,421355,473022,1.12,0,0,0,4,0.11,VERIFIED_VALID,0
FRAUD_IN_40047,Anil Sheikh,Uttar Pradesh,54776,52859,0.97,0,0,0,2,0.16,VERIFIED_VALID,0
FRAUD_IN_40048,Sunil Das,West Bengal,161119,150803,0.94,0,0,0,2,0.08,VERIFIED_VALID,0
FRAUD_IN_40049,Sanjay Gowda,Gujarat,212158,239522,1.13,0,0,0,1,0.09,NOT_REQUIRED,0
FRAUD_IN_40050,Pradeep Sharma,Bihar,323357,306930,0.95,0,0,0,2,0.15,VERIFIED_VALID,0
FRAUD_IN_40051,Gurpreet Kumar,Bihar,303307,330266,1.09,0,0,0,3,0.06,VERIFIED_VALID,0
FRAUD_IN_40052,Lakshmi Khan,Madhya Pradesh,333081,314792,0.95,0,0,0,2,0.06,VERIFIED_VALID,0
FRAUD_IN_40053,Ananya Mishra,West Bengal,113216,126738,1.12,0,0,0,3,0.04,VERIFIED_VALID,0
FRAUD_IN_40054,Geeta Das,Tamil Nadu,367825,361763,0.98,0,0,0,1,0.08,NOT_REQUIRED,0
FRAUD_IN_40055,Meena Shah,Uttar Pradesh,66758,72570,1.09,0,0,0,1,0.11,VERIFIED_VALID,0
FRAUD_IN_40056,Harpreet Rao,Madhya Pradesh,439941,492785,1.12,0,0,1,1,0.17,VERIFIED_VALID,0
