student_id,student_name,gender,state,district,social_category,annual_family_income_inr,academic_marks_pct,education_level,course_name,institution_type,is_single_girl_child,is_orphan,scholarship_id,scholarship_name,scholarship_min_marks,scholarship_max_income,target_eligibility
STU_IN_30001,Ananya Mehta,Female,Assam,Dibrugarh,General,416292,61.6,Postgraduate (PG),Class 12 Science,Government Aided,0,0,SCHOL_POST_MATRIC_OBC,Post-Matric Scholarship for OBC Students,50.0,250000,VERIFY
STU_IN_30002,Ananya Reddy,Female,Karnataka,Dharwad,OBC,105437,93.1,Undergraduate (UG),Class 10 CBSE/State Board,Government Aided,1,0,SCHOL_NMMSS,National Means-cum-Merit Scholarship Scheme,55.0,350000,POTENTIALLY_ELIGIBLE
STU_IN_30003,Preeti Sheikh,Female,Bihar,Patna,OBC,333650,74.9,School (9th-12th),M.Sc Physics,Government Aided,0,0,SCHOL_POST_MATRIC_SC,Post-Matric Scholarship for SC Students,50.0,250000,VERIFY
STU_IN_30004,Ganesh Patil,Male,Assam,Silchar,EWS,199904,97.5,Undergraduate (UG),M.Sc Physics,Government Institution,0,0,SCHOL_BEGUM_HAZRAT,Begum Hazrat Mahal National Scholarship for Minority Girls,50.0,200000,POTENTIALLY_ELIGIBLE
STU_IN_30005,Neha Kumar,Female,Punjab,Jalandhar,SC,186274,74.9,Postgraduate (PG),M.Sc Physics,Private Self-Financed,0,0,SCHOL_CENTRAL_SECTOR,Central Sector Scheme of Scholarships for University Students,80.0,450000,VERIFY
STU_IN_30006,Gurpreet Yadav,Male,West Bengal,Howrah,OBC,261762,86.2,School (9th-12th),BA Political Science,Private Self-Financed,0,0,SCHOL_PM_YASHASVI,PM YASHASVI Top Class School & College Education,60.0,250000,VERIFY
STU_IN_30007,Ananya Deshmukh,Female,Odisha,Sambalpur,EWS,127444,78.8,Undergraduate (UG),BA Political Science,Government Institution,0,0,SCHOL_BEGUM_HAZRAT,Begum Hazrat Mahal National Scholarship for Minority Girls,50.0,200000,POTENTIALLY_ELIGIBLE
STU_IN_30008,Kiran Deshmukh,Female,Punjab,Ludhiana,EWS,86216,63.5,School (9th-12th),B.Com Honors,Government Aided,0,0,SCHOL_ISHAN_UDAY,Ishan Uday Special Scholarship for North Eastern Region,60.0,450000,POTENTIALLY_ELIGIBLE
STU_IN_30009,Amit Nair,Male,Kerala,Kochi,SC,164108,61.8,School (9th-12th),BA Political Science,Government Aided,0,0,SCHOL_POST_MATRIC_SC,Post-Matric Scholarship for SC Students,50.0,250000,POTENTIALLY_ELIGIBLE
STU_IN_30010,Rekha Kaur,Female,Rajasthan,Ajmer,General,729972,83.3,School (9th-12th),MBBS,Government Institution,1,0,SCHOL_POST_MATRIC_SC,Post-Matric Scholarship for SC Students,50.0,250000,VERIFY
STU_IN_30011,Sunita Sheikh,Female,Tamil Nadu,Chennai,OBC,848361,91.5,School (9th-12th),Class 10 CBSE/State Board,Government Aided,1,0,SCHOL_PRAGATI_GIRLS,AICTE Pragati Scholarship for Girl Students,60.0,800000,VERIFY
STU_IN_30012,Fatima Kulkarni,Female,Bihar,Gaya,General,35518,81.3,Postgraduate (PG),B.Com Honors,Government Institution,1,0,SCHOL_BEGUM_HAZRAT,Begum Hazrat Mahal National Scholarship for Minority Girls,50.0,200000,POTENTIALLY_ELIGIBLE
STU_IN_30013,Simran Kulkarni,Female,Odisha,Sambalpur,SC,193438,85.2,Postgraduate (PG),BA Political Science,Government Institution,0,0,SCHOL_PM_YASHASVI,PM YASHASVI Top Class School & College Education,60.0,250000,POTENTIALLY_ELIGIBLE
STU_IN_30014,Bhavna Chatterjee,Female,West Bengal,Kolkata,SC,782724,93.3,Undergraduate (UG),B.Tech Computer Science,Government Institution,0,0,SCHOL_PRAGATI_GIRLS,AICTE Pragati Scholarship for Girl Students,60.0,800000,POTENTIALLY_ELIGIBLE
STU_IN_30015,Arjun Reddy,Male,Assam,Dibrugarh,OBC,143467,69.3,Postgraduate (PG),B.Sc Agriculture,Government Institution,0,0,SCHOL_BEGUM_HAZRAT,Begum Hazrat Mahal National Scholarship for Minority Girls,50.0,200000,POTENTIALLY_ELIGIBLE
STU_IN_30016,Pradeep Shah,Male,Assam,Guwahati,General,162248,55.5,Diploma / ITI,B.Sc Agriculture,Government Aided,0,0,SCHOL_BEGUM_HAZRAT,Begum Hazrat Mahal National Scholarship for Minority Girls,50.0,200000,POTENTIALLY_ELIGIBLE
STU_IN_30017,Kavita Gupta,Female,West Bengal,Asansol,General,805165,88.6,Diploma / ITI,B.Tech Computer Science,Government Aided,0,1,SCHOL_ISHAN_UDAY,Ishan Uday Special Scholarship for North Eastern Region,60.0,450000,VERIFY
STU_IN_30018,Deepak Kulkarni,Male,Assam,Tezpur,General,112911,49.2,Diploma / ITI,B.Tech Computer Science,Government Institution,0,0,SCHOL_POST_MATRIC_OBC,Post-Matric Scholarship for OBC Students,50.0,250000,VERIFY
STU_IN_30019,Preeti Chaudhary,Female,Rajasthan,Jodhpur,ST,117851,50.8,Undergraduate (UG),MBBS,Government Aided,0,0,SCHOL_BEGUM_HAZRAT,Begum Hazrat Mahal National Scholarship for Minority Girls,50.0,200000,POTENTIALLY_ELIGIBLE
STU_IN_30020,Ananya Singh,Female,Punjab,Jalandhar,OBC,119372,63.1,Diploma / ITI,MBBS,Government Institution,0,0,SCHOL_BEGUM_HAZRAT,Begum Hazrat Mahal National Scholarship for Minority Girls,50.0,200000,POTENTIALLY_ELIGIBLE
STU_IN_30021,Rekha Das,Female,Tamil Nadu,Coimbatore,OBC,190874,92.2,School (9th-12th),BA Political Science,Private Self-Financed,0,0,SCHOL_PRAGATI_GIRLS,AICTE Pragati Scholarship for Girl Students,60.0,800000,POTENTIALLY_ELIGIBLE
STU_IN_30022,Priya Kulkarni,Female,Assam,Guwahati,General,221594,53.2,Diploma / ITI,B.Tech Computer Science,Government Institution,0,0,SCHOL_POST_MATRIC_SC,Post-Matric Scholarship for SC Students,50.0,250000,POTENTIALLY_ELIGIBLE
STU_IN_30023,Neha Kumar,Female,Gujarat,Ahmedabad,General,483476,83.2,School (9th-12th),MBBS,Government Aided,0,0,SCHOL_NMMSS,National Means-cum-Merit Scholarship Scheme,55.0,350000,VERIFY
STU_IN_30024,Dinesh Yadav,Male,West Bengal,Siliguri,General,298413,83.7,Undergraduate (UG),BA Political Science,Government Institution,0,0,SCHOL_CENTRAL_SECTOR,Central Sector Scheme of Scholarships for University Students,80.0,450000,POTENTIALLY_ELIGIBLE
STU_IN_30025,Anita Banerjee,Female,West Bengal,Howrah,General,49741,90.8,Diploma / ITI,Class 10 CBSE/State Board,Private Self-Financed,0,0,SCHOL_BEGUM_HAZRAT,Begum Hazrat Mahal National Scholarship for Minority Girls,50.0,200000,POTENTIALLY_ELIGIBLE
STU_IN_30026,Kiran Singh,Female,Punjab,Patiala,General,154187,96.8,Undergraduate (UG),B.Sc Agriculture,Private Self-Financed,0,0,SCHOL_PM_YASHASVI,PM YASHASVI Top Class School & College Education,60.0,250000,POTENTIALLY_ELIGIBLE
STU_IN_30027,Anil Rao,Male,Bihar,Darbhanga,OBC,629448,73.1,Undergraduate (UG),Class 12 Science,Private Self-Financed,0,0,SCHOL_POST_MATRIC_SC,Post-Matric Scholarship for SC Students,50.0,250000,VERIFY
STU_IN_30028,Sunita Joshi,Female,Odisha,Cuttack,EWS,83681,73.7,School (9th-12th),M.Sc Physics,Government Institution,0,0,SCHOL_BEGUM_HAZRAT,Begum Hazrat Mahal National Scholarship for Minority Girls,50.0,200000,POTENTIALLY_ELIGIBLE
STU_IN_30029,Sangeeta Chatterjee,Female,Tamil Nadu,Madurai,SC,219997,98.7,Undergraduate (UG),Class 12 Science,Government Institution,0,0,SCHOL_POST_MATRIC_SC,Post-Matric Scholarship for SC Students,50.0,250000,POTENTIALLY_ELIGIBLE
STU_IN_30030,Deepika Chatterjee,Female,Tamil Nadu,Tiruchirappalli,OBC,126622,90.3,School (9th-12th),B.Sc Agriculture,Government Institution,0,0,SCHOL_PM_YASHASVI,PM YASHASVI Top Class School & College Education,60.0,250000,POTENTIALLY_ELIGIBLE
STU_IN_30031,Rohan Kulkarni,Male,Odisha,Puri,ST,744378,55.4,School (9th-12th),B.Com Honors,Private Self-Financed,0,0,SCHOL_BEGUM_HAZRAT,Begum Hazrat Mahal National Scholarship for Minority Girls,50.0,200000,VERIFY
STU_IN_30032,Dinesh Kulkarni,Male,Tamil Nadu,Salem,OBC,370982,74.6,School (9th-12th),MBBS,Government Institution,0,0,SCHOL_PRAGATI_GIRLS,AICTE Pragati Scholarship for Girl Students,60.0,800000,POTENTIALLY_ELIGIBLE
STU_IN_30033,Pradeep Nair,Male,Maharashtra,Solapur,ST,469621,60.6,School (9th-12th),Class 12 Science,Government Aided,0,0,SCHOL_ISHAN_UDAY,Ishan Uday Special Scholarship for North Eastern Region,60.0,450000,VERIFY
STU_IN_30034,Arjun Rao,Male,Haryana,Gurugram,OBC,218607,61.0,Undergraduate (UG),BA Political Science,Government Institution,0,0,SCHOL_POST_MATRIC_SC,Post-Matric Scholarship for SC Students,50.0,250000,POTENTIALLY_ELIGIBLE
STU_IN_30035,Amit Chatterjee,Male,Punjab,Patiala,EWS,46298,60.8,School (9th-12th),B.Com Honors,Government Institution,0,0,SCHOL_POST_MATRIC_SC,Post-Matric Scholarship for SC Students,50.0,250000,POTENTIALLY_ELIGIBLE
STU_IN_30036,Ananya Reddy,Female,Gujarat,Jamnagar,General,487912,56.0,Undergraduate (UG),Class 10 CBSE/State Board,Private Self-Financed,0,0,SCHOL_NMMSS,National Means-cum-Merit Scholarship Scheme,55.0,350000,VERIFY
STU_IN_30037,Tariq Verma,Male,Karnataka,Dharwad,EWS,337621,61.4,Postgraduate (PG),B.Com Honors,Government Aided,0,0,SCHOL_PM_YASHASVI,PM YASHASVI Top Class School & College Education,60.0,250000,VERIFY
STU_IN_30038,Pradeep Kumar,Male,Assam,Tezpur,General,192447,67.8,Diploma / ITI,B.Sc Agriculture,Government Institution,0,0,SCHOL_POST_MATRIC_SC,Post-Matric Scholarship for SC Students,50.0,250000,POTENTIALLY_ELIGIBLE
STU_IN_30039,Simran Chaudhary,Female,Bihar,Bhagalpur,OBC,40554,79.9,Undergraduate (UG),B.Sc Agriculture,Private Self-Financed,0,0,SCHOL_BEGUM_HAZRAT,Begum Hazrat Mahal National Scholarship for Minority Girls,50.0,200000,POTENTIALLY_ELIGIBLE
STU_IN_30040,Mohammed Kaur,Male,Gujarat,Rajkot,OBC,151991,94.1,Diploma / ITI,B.Com Honors,Government Aided,0,0,SCHOL_ISHAN_UDAY,Ishan Uday Special Scholarship for North Eastern Region,60.0,450000,POTENTIALLY_ELIGIBLE
STU_IN_30041,Kavita Joshi,Female,Assam,Guwahati,OBC,191852,86.2,Diploma / ITI,M.Sc Physics,Government Institution,0,0,SCHOL_PM_YASHASVI,PM YASHASVI Top Class School & College Education,60.0,250000,POTENTIALLY_ELIGIBLE
